,counts
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,1
2020-01-28,4
2020-01-29,4
2020-01-30,4
2020-01-31,5
2020-02-01,8
2020-02-02,10
2020-02-03,12
2020-02-04,12
2020-02-05,12
2020-02-06,12
2020-02-07,13
2020-02-08,13
2020-02-09,14
2020-02-10,14
2020-02-11,16
2020-02-12,16
2020-02-13,16
2020-02-14,16
2020-02-15,16
2020-02-16,16
2020-02-17,16
2020-02-18,16
2020-02-19,16
2020-02-20,16
2020-02-21,16
2020-02-22,16
2020-02-23,16
2020-02-24,16
2020-02-25,17
2020-02-26,27
2020-02-27,46
2020-02-28,48
2020-02-29,79
2020-03-01,130
2020-03-02,159
2020-03-03,196
2020-03-04,262
2020-03-05,482
2020-03-06,670
2020-03-07,799
2020-03-08,1040
2020-03-09,1176
2020-03-10,1457
2020-03-11,1908
2020-03-12,2078
2020-03-13,3675
2020-03-14,4585
2020-03-15,5795
2020-03-16,7272
2020-03-17,9257
2020-03-18,12327
2020-03-19,15320
2020-03-20,19848
2020-03-21,22213
2020-03-22,24873
2020-03-23,29056
2020-03-24,32986
2020-03-25,37323
2020-03-26,43938
2020-03-27,50871
2020-03-28,57695
2020-03-29,62095
2020-03-30,66885
2020-03-31,71808
2020-04-01,77872
2020-04-02,84794
2020-04-03,91159
2020-04-04,96092
2020-04-05,100123
2020-04-06,103374
2020-04-07,107663
2020-04-08,113296
2020-04-09,118181
2020-04-10,122171
2020-04-11,124908
2020-04-12,127854
2020-04-13,130072
2020-04-14,131359
2020-04-15,134753
2020-04-16,137698
2020-04-17,141397
2020-04-18,143342
2020-04-19,145184
2020-04-20,147065
2020-04-21,148291
2020-04-22,150648
2020-04-23,153129
2020-04-24,154999
2020-04-25,156513
2020-04-26,157770
2020-04-27,158758
2020-04-28,159912
2020-04-29,161539
2020-04-30,163009
2020-05-01,164077
2020-05-02,164967
2020-05-03,165664
2020-05-04,166152
2020-05-05,167007
2020-05-06,168162
2020-05-07,169430
2020-05-08,170588
2020-05-09,171324
2020-05-10,171879
2020-05-11,172576
2020-05-12,173171
2020-05-13,174098
2020-05-14,174478
2020-05-15,175233
2020-05-16,175752
2020-05-17,176369
2020-05-18,176551
2020-05-19,177778
2020-05-20,178473
2020-05-21,179021
2020-05-22,179710
2020-05-23,179986
2020-05-24,180328
2020-05-25,180600
2020-05-26,181200
2020-05-27,181524
2020-05-28,182196
2020-05-29,182922
2020-05-30,183189
2020-05-31,183410
2020-06-01,183594
2020-06-02,183879
2020-06-03,184121
2020-06-04,184472
2020-06-05,184924
2020-06-06,185450
2020-06-07,185750
2020-06-08,186109
2020-06-09,186506
2020-06-10,186522
2020-06-11,186691
2020-06-12,187226
2020-06-13,187267
2020-06-14,187518
2020-06-15,187682
2020-06-16,188252
2020-06-17,188604
2020-06-18,189817
2020-06-19,190299
2020-06-20,190670
2020-06-21,191272
2020-06-22,191768
2020-06-23,192480
2020-06-24,192871
2020-06-25,193371
2020-06-26,194036
2020-06-27,194458
2020-06-28,194693
2020-06-29,195042
2020-06-30,195418
2020-07-01,195893
2020-07-02,196370
2020-07-03,196780
2020-07-04,197198
2020-07-05,197523
2020-07-06,198064
2020-07-07,198343
2020-07-08,198699
2020-07-09,199001
2020-07-10,199332
2020-07-11,199709
2020-07-12,199919
2020-07-13,200180
2020-07-14,200456
2020-07-15,200890
2020-07-16,201450
2020-07-17,202045
2020-07-18,202426
2020-07-19,202735
2020-07-20,203325
2020-07-21,203717
2020-07-22,204276
2020-07-23,204881
2020-07-24,205623
2020-07-25,206278
2020-07-26,206667
2020-07-27,207112
2020-07-28,207707
2020-07-29,208546
2020-07-30,209535
2020-07-31,210399
2020-08-01,211005
2020-08-02,211220
2020-08-03,212111
2020-08-04,212828
